Name Raw,Name,Population,Weekly Household Equivalised Income,Product,Multiple of Average,GDP/head,Airports,States,Countries,Fractions
63410: King Island,King Island,1675,940,1574500,0.86,57.35,King Island,TAS,Australia,1
63610: Kingborough,Kingborough,40933,1029,42120057,0.94,62.78,Hobart,TAS,Australia,1
43360: Kingston (SA),Kingston (SA),2377,814,1934878,0.74,49.66,Mount Gambier,SA,Australia,1
23430: Kingston (Vic.),Kingston (Vic.),160005,1176,188165880,1.07,71.75,Melbourne,VIC,Australia,1
23670: Knox,Knox,159465,1093,174295245,1.00,66.68,Melbourne,VIC,Australia,1
54550: Kojonup,Kojonup,1974,990,1954260,0.90,60.40,Albany,WA,Australia,1
54620: Kondinin,Kondinin,866,948,820968,0.86,57.84,Perth,WA,Australia,1
54690: Koorda,Koorda,374,881,329494,0.80,53.75,Perth,WA,Australia,1
34420: Kowanyama,Kowanyama,1137,477,542349,0.43,29.10,Weipa,QLD,Australia,1
14500: Ku-ring-gai,Ku-ring-gai,124172,1722,213824184,1.57,105.06,Sydney,NSW,Australia,1
54760: Kulin,Kulin,783,1184,927072,1.08,72.23,Perth,WA,Australia,1
54830: Kwinana,Kwinana,49500,1038,51381000,0.95,63.33,Perth,WA,Australia,1
14550: Kyogle,Kyogle,9453,647,6116091,0.59,39.47,Ballina,NSW,Australia,1
14600: Lachlan,Lachlan,6139,784,4812976,0.71,47.83,"Parkes,Griffith",NSW,Australia,"0.7,0.3"
54900: Lake Grace,Lake Grace,1288,1113,1433544,1.01,67.90,Albany,WA,Australia,1
14650: Lake Macquarie,Lake Macquarie,216603,996,215736588,0.91,60.76,Newcastle,NSW,Australia,1
14700: Lane Cove,Lane Cove,40076,1866,74781816,1.70,113.84,Sydney,NSW,Australia,1
63810: Latrobe (Tas.),Latrobe (Tas.),12922,830,10725260,0.76,50.64,Launceston,NSW,Australia,1
23810: Latrobe (Vic.),Latrobe (Vic.),77668,833,64697444,0.76,50.82,Morwell,VIC,Australia,1
